area,total_count,with_elv,without_elv,elv_pre,noelv_pre
和平,1662,704,958,0.42,0.58
河东,2383,810,1573,0.34,0.66
河西,5144,2400,2744,0.47,0.53
南开,3593,2795,800,0.78,0.22
河北,1795,485,1310,0.27,0.73
红桥,1039,371,668,0.36,0.64
东丽,1025,563,462,0.55,0.45
西青,2223,2058,165,0.93,0.07
津南,1316,784,532,0.6,0.4
北辰,738,488,250,0.66,0.34
滨海新区,4190,2303,1887,0.55,0.45
武清,2932,1920,1012,0.65,0.35
宝坻,361,168,193,0.47,0.53
蓟州,14,1,13,0.07,0.93
宁河,6,0,6,0,1
静海,80,46,34,0.58,0.42
